Staff,Skill,Status,FTE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1,RN,FT,1,,,,,,,,,,vac,vac,vac,vac,vac,vac,vac,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RN,FT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,RN,FT,1,,,,,,,,,,,,,,,,,,,,,,,,,,vac,vac,,,,,,,,,,,,,,,
4,RN,FT,1,,,,,,,,,,,,,,,,,,,,,,stat1,,,,,,,,,,,,,,,,,,,,
5,RN,FT,1,,,,,,,,,,,,stat1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,RN,FT,1,,,,,,,,,,,,,,,,,stat2,,,,,,,,,,,,,,,,,,,,,,,,,
7,RN,FT,1,,,,,,vac,vac,vac,vac,vac,vac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,RN,FT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vac,vac,vac,vac,vac,vac,vac,,,
9,RN,FT,1,,,,,,,,,,,,,,,,,,,,stat1,vac,,,,,,,,,,,,,,,,,,,,,
10,RN,FT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stat2,,,,,,,,,,,,,
11,RN,FT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,RN,FT,1,leave1,leave1,leave1,leave1,leave1,leave1,leave1,leave1,leave1,leave1,leave1,leave1,leave1,leave1,leave1,leave1,leave1,leave1,,,,,,,,,,,,,,,,,,,,,,,,
13,RN,PT,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RN,PT,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vac,,
15,RN,PT,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,RN,PT,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,RN,PT,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,RN,PT,0.6,,,,,,,,,,,,,,,,,,vac,vac,vac,vac,vac,vac,vac,,,,,,,,,,,,,,,,,,
19,RN,PT,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,RN,PT,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
